"","id","cq","xmast","dim","lact","rpro","dnbr","x8"
"148",17527,3,0,271,4,"PREG","-",NA
"149",17533,3,0,50,4,"OK/OPEN","-",NA
"150",17537,2,0,254,4,"OK/OPEN","-",NA
"151",17555,3,0,144,4,"PREG","-",NA
"152",17556,3,0,308,4,"DRY","-",NA
"153",17571,3,0,188,4,"PREG","-",NA
"154",17573,2,0,330,4,"NO BRED","XBREED",NA
"155",17576,1,0,581,3,"NO BRED",NA,NA
"156",17585,2,0,150,4,"PREG","-",NA
"157",17629,2,0,342,4,"PREG","-",NA
"158",17651,2,0,361,4,"NO BRED","UDDER",NA
"159",17657,2,0,85,5,"BRED","-",NA
"160",17667,2,0,25,5,"OK/OPEN","-",NA
"161",17676,1,0,282,4,"PREG","-",NA
"162",17687,3,1,209,4,"PREG","-",NA
"163",17693,2,0,303,4,"PREG","-",NA
"164",17694,2,1,259,4,"NO BRED","PROD",NA
"165",17704,2,0,390,4,"NO BRED","UDDER",NA
"166",17722,2,1,377,4,"NO BRED","LEGSWOLL",NA
"167",17728,2,0,261,4,"PREG","-",NA
"168",17741,2,1,311,4,"DRY","-",NA
"169",17746,3,0,277,4,"PREG","-",NA
"170",17753,3,0,60,5,"OK/OPEN","-",NA
"171",17758,2,0,20,4,"OK/OPEN","-",NA
"172",17765,3,0,300,4,"PREG","-",NA
"173",17772,1,0,280,4,"PREG","-",NA
"174",17774,2,0,297,4,"PREG","-",NA
"175",17796,2,0,272,4,"PREG","-",NA
"176",17798,1,0,238,4,"NO BRED","XBRD",NA
"177",17800,3,0,81,5,"BRED","-",NA
"178",17801,1,0,289,4,"PREG","-",NA
"179",17804,2,0,29,5,"OK/OPEN","-",NA
"180",17805,1,1,276,4,"PREG","-",NA
"181",17810,1,0,330,4,"PREG","-",NA
"182",17811,2,0,291,4,"PREG","-",NA
"183",17814,2,0,234,4,"PREG","-",NA
"184",17816,3,1,282,4,"DRY","-",NA
"185",17840,3,0,297,4,"DRY","-",NA
"186",17849,3,0,51,4,"OK/OPEN","-",NA
"187",17855,1,0,193,4,"PREG","-",NA
"188",17870,3,0,84,4,"BRED","-",NA
"189",17874,2,0,71,4,"OK/OPEN","-",NA
"190",17881,3,0,308,4,"DRY","-",NA
"191",17888,2,0,148,4,"BRED","-",NA
"192",17893,2,0,304,4,"PREG","-",NA
"193",17894,3,0,268,4,"PREG","-",NA
"194",17898,3,1,43,5,"OK/OPEN","-",NA
"195",17899,3,0,77,4,"BRED","-",NA
"196",17901,3,0,140,4,"BRED","-",NA
"197",17909,2,0,191,4,"PREG","-",NA
"198",17910,2,0,233,4,"PREG","-",NA
"199",17932,1,0,685,3,"NO BRED","UDDER",NA
"200",17960,2,0,16,4,"OK/OPEN","-",NA
"201",17965,3,0,266,4,"PREG","-",NA
"202",17978,2,0,25,4,"OK/OPEN","-",NA
"203",17979,2,0,108,4,"BRED","-",NA
"204",17982,3,0,86,4,"BRED","-",NA
"205",17983,2,0,352,4,"PREG","-",NA
"206",17985,0,0,183,4,"PREG","-",NA
"207",17987,2,0,245,4,"PREG","-",NA
"208",17989,2,0,312,4,"DRY","-",NA
"209",18001,2,0,120,4,"BRED","-",NA
"210",18008,3,1,302,4,"PREG","-",NA
"211",18020,2,0,365,4,"PREG","-",NA
"212",18022,1,1,243,4,"PREG","-",NA
"213",18028,2,1,380,3,"NO BRED","PROD",NA
"214",18031,3,0,203,4,"NO BRED","UDDER",NA
"215",18036,3,0,160,4,"PREG","-",NA
"216",18061,2,1,253,4,"PREG","-",NA
"217",18064,3,0,127,4,"BRED","-",NA
"218",18068,0,1,179,4,"PREG","-",NA
"219",18079,2,1,384,3,"NO BRED","REPRO",NA
"220",18113,2,0,73,4,"OK/OPEN","-",NA
"221",18122,2,0,219,4,"PREG","-",NA
"222",18124,3,0,29,5,"NO BRED","UDDER",NA
"223",18135,3,0,82,4,"BRED","-",NA
"224",18143,2,0,288,4,"PREG","-",NA
"225",18150,2,0,82,4,"BRED","-",NA
"226",18153,2,0,267,4,"PREG","-",NA
"227",18162,3,0,75,4,"OK/OPEN","-",NA
"228",18170,2,0,490,3,"NO BRED","REPRO",NA
"229",18172,2,0,22,4,"OK/OPEN","-",NA
"230",18174,3,0,26,4,"OK/OPEN","-",NA
"231",18180,2,0,271,4,"PREG","-",NA
"232",18185,2,3,151,4,"BRED","-",NA
"233",18191,3,0,63,4,"OK/OPEN","-",NA
"234",18196,3,1,405,3,"NO BRED","ABORT",NA
"235",18197,3,1,111,4,"BRED","-",NA
"236",18202,2,0,198,4,"PREG","-",NA
"237",18213,0,1,181,4,"BRED","-",NA
"238",18217,3,0,55,4,"OK/OPEN","-",NA
"239",18229,3,0,18,4,"OK/OPEN","-",NA
"240",18232,2,0,13,4,"OK/OPEN","-",NA
"241",18243,3,0,90,4,"BRED","-",NA
"242",18245,3,0,197,4,"PREG","-",NA
"243",18248,0,1,181,4,"BRED","-",NA
"244",18249,2,0,122,4,"PREG","-",NA
"245",18255,3,0,246,4,"PREG","-",NA
"246",18262,3,1,314,3,"DRY","-",NA
"247",18263,3,0,281,4,"PREG","-",NA
"248",18273,2,0,172,4,"BRED","-",NA
"249",18274,2,0,72,4,"OK/OPEN","-",NA
"250",18288,3,0,210,4,"PREG","-",NA
"251",18290,2,0,138,4,"PREG","-",NA
"252",18306,3,2,129,4,"PREG","-",NA
"253",18310,3,0,257,4,"PREG","-",NA
